IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.169.15,2095,FALSE,SIN,Asia Pacific,Singapore,235 ms,4816 kB/s
47.236.165.25,80,FALSE,SIN,Asia Pacific,Singapore,221 ms,4809 kB/s
47.237.95.140,8080,FALSE,SIN,Asia Pacific,Singapore,244 ms,4798 kB/s
47.76.159.146,2082,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,4797 kB/s
47.237.100.206,8080,FALSE,SIN,Asia Pacific,Singapore,220 ms,4793 kB/s
47.236.144.156,2086,FALSE,SIN,Asia Pacific,Singapore,215 ms,4789 kB/s
47.237.82.15,2086,FALSE,SIN,Asia Pacific,Singapore,218 ms,4788 kB/s
47.237.82.15,80,FALSE,SIN,Asia Pacific,Singapore,213 ms,4776 kB/s
47.236.166.131,2095,FALSE,SIN,Asia Pacific,Singapore,223 ms,4767 kB/s
47.237.95.13,2052,FALSE,SIN,Asia Pacific,Singapore,213 ms,4757 kB/s
47.236.202.91,2082,FALSE,SIN,Asia Pacific,Singapore,211 ms,4744 kB/s
8.222.174.108,2082,FALSE,SIN,Asia Pacific,Singapore,224 ms,4741 kB/s
47.236.180.51,80,FALSE,SIN,Asia Pacific,Singapore,230 ms,4737 kB/s
47.236.117.48,2082,FALSE,SIN,Asia Pacific,Singapore,226 ms,4714 kB/s
47.236.87.246,2095,FALSE,SIN,Asia Pacific,Singapore,240 ms,4713 kB/s
47.236.83.239,2095,FALSE,SIN,Asia Pacific,Singapore,209 ms,4712 kB/s
47.236.144.196,2086,FALSE,SIN,Asia Pacific,Singapore,243 ms,4700 kB/s
47.236.17.193,2095,FALSE,SIN,Asia Pacific,Singapore,212 ms,4676 kB/s
