IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.0.162,8880,8880,false,SIN,Asia Pacific,Singapore,147,0.57
47.236.150.13,2052,2052,false,SIN,Asia Pacific,Singapore,67,0.57
8.222.156.242,8443,8443,true,SIN,Asia Pacific,Singapore,77,0.57
47.236.180.24,2087,2087,true,SIN,Asia Pacific,Singapore,78,0.56
8.222.180.86,2087,2087,true,SIN,Asia Pacific,Singapore,153,0.56
47.236.172.71,2082,2082,false,SIN,Asia Pacific,Singapore,153,0.56
47.236.144.208,2052,2052,false,SIN,Asia Pacific,Singapore,82,0.56
47.237.100.206,8080,8080,false,SIN,Asia Pacific,Singapore,146,0.55
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,156,0.55
8.219.139.13,2052,2052,false,SIN,Asia Pacific,Singapore,142,0.55
47.245.118.70,8080,8080,false,SIN,Asia Pacific,Singapore,54,0.55
52.74.101.26,443,443,true,SIN,Asia Pacific,Singapore,124,0.55
8.219.110.81,2083,2083,true,SIN,Asia Pacific,Singapore,146,0.55
47.245.126.151,2083,2083,true,SIN,Asia Pacific,Singapore,154,0.55
8.222.150.197,2083,2083,true,SIN,Asia Pacific,Singapore,155,0.54
47.245.86.230,8880,8880,false,SIN,Asia Pacific,Singapore,155,0.54
8.219.78.188,8880,8880,false,SIN,Asia Pacific,Singapore,147,0.54
47.245.105.224,2082,2082,false,SIN,Asia Pacific,Singapore,149,0.54
8.219.0.48,8080,8080,false,SIN,Asia Pacific,Singapore,57,0.53
47.236.180.24,2082,2082,false,SIN,Asia Pacific,Singapore,143,0.53
8.219.77.222,8880,8880,false,SIN,Asia Pacific,Singapore,71,0.52
47.237.14.220,8443,8443,true,SIN,Asia Pacific,Singapore,153,0.52
8.219.0.48,8443,8443,true,SIN,Asia Pacific,Singapore,64,0.52
8.219.114.201,2086,2086,false,SIN,Asia Pacific,Singapore,62,0.52
8.219.100.168,2052,2052,false,SIN,Asia Pacific,Singapore,70,0.52
8.222.144.50,80,80,false,SIN,Asia Pacific,Singapore,155,0.52
8.222.179.231,2083,2083,true,SIN,Asia Pacific,Singapore,72,0.52
47.236.253.41,2095,2095,false,SIN,Asia Pacific,Singapore,68,0.51
8.222.164.209,8880,8880,false,SIN,Asia Pacific,Singapore,139,0.51
8.222.169.222,2095,2095,false,SIN,Asia Pacific,Singapore,156,0.51
47.236.166.131,2086,2086,false,SIN,Asia Pacific,Singapore,160,0.51
47.236.170.225,2095,2095,false,SIN,Asia Pacific,Singapore,155,0.51
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,59,0.51
47.236.180.51,8880,8880,false,SIN,Asia Pacific,Singapore,146,0.51
8.219.199.220,8443,8443,true,SIN,Asia Pacific,Singapore,148,0.51
8.222.136.247,80,80,false,SIN,Asia Pacific,Singapore,146,0.51
8.219.60.54,8880,8880,false,SIN,Asia Pacific,Singapore,70,0.50
47.236.158.158,2086,2086,false,SIN,Asia Pacific,Singapore,144,0.50
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,59,0.50
8.222.160.176,8880,8880,false,SIN,Asia Pacific,Singapore,65,0.50
8.222.160.176,2052,2052,false,SIN,Asia Pacific,Singapore,152,0.50
8.222.184.198,8080,8080,false,SIN,Asia Pacific,Singapore,154,0.50
8.219.106.156,2083,2083,true,SIN,Asia Pacific,Singapore,142,0.50
8.219.106.156,2053,2053,true,SIN,Asia Pacific,Singapore,76,0.50
8.219.42.72,8080,8080,false,SIN,Asia Pacific,Singapore,139,0.49
8.219.86.200,8080,8080,false,SIN,Asia Pacific,Singapore,156,0.49
47.236.97.90,2082,2082,false,SIN,Asia Pacific,Singapore,165,0.49
47.236.237.90,2053,2053,true,SIN,Asia Pacific,Singapore,58,0.49
47.245.118.70,2052,2052,false,SIN,Asia Pacific,Singapore,143,0.49
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,68,0.49
8.219.200.145,8443,8443,true,SIN,Asia Pacific,Singapore,141,0.48
8.222.150.197,8080,8080,false,SIN,Asia Pacific,Singapore,78,0.48
8.219.122.55,2087,2087,true,SIN,Asia Pacific,Singapore,63,0.48
47.236.144.208,80,80,false,SIN,Asia Pacific,Singapore,154,0.48
47.237.14.220,2086,2086,false,SIN,Asia Pacific,Singapore,152,0.48
47.236.232.148,2082,2082,false,SIN,Asia Pacific,Singapore,139,0.48
8.219.120.87,2095,2095,false,SIN,Asia Pacific,Singapore,144,0.48
47.237.95.13,8880,8880,false,SIN,Asia Pacific,Singapore,144,0.48
8.219.77.222,2086,2086,false,SIN,Asia Pacific,Singapore,153,0.48
8.219.78.1,2086,2086,false,SIN,Asia Pacific,Singapore,77,0.47
8.222.136.247,8880,8880,false,SIN,Asia Pacific,Singapore,144,0.47
8.219.60.54,2083,2083,true,SIN,Asia Pacific,Singapore,53,0.47
47.236.170.54,8880,8880,false,SIN,Asia Pacific,Singapore,149,0.47
8.222.180.86,8080,8080,false,SIN,Asia Pacific,Singapore,81,0.47
47.236.180.51,8080,8080,false,SIN,Asia Pacific,Singapore,155,0.47
8.219.110.81,2053,2053,true,SIN,Asia Pacific,Singapore,55,0.46
47.236.93.176,8443,8443,true,SIN,Asia Pacific,Singapore,156,0.45
47.236.10.182,2095,2095,false,SIN,Asia Pacific,Singapore,142,0.45
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,76,0.45
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,154,0.45
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,70,0.45
8.219.4.122,80,80,false,SIN,Asia Pacific,Singapore,69,0.45
8.219.86.200,80,80,false,SIN,Asia Pacific,Singapore,78,0.45
8.219.107.135,2082,2082,false,SIN,Asia Pacific,Singapore,143,0.44
47.237.83.20,2096,2096,true,SIN,Asia Pacific,Singapore,149,0.44
47.236.166.131,2082,2082,false,SIN,Asia Pacific,Singapore,155,0.44
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,57,0.44
47.236.171.205,8880,8880,false,SIN,Asia Pacific,Singapore,153,0.44
8.222.164.209,2053,2053,true,SIN,Asia Pacific,Singapore,146,0.43
8.219.11.158,2087,2087,true,SIN,Asia Pacific,Singapore,53,0.43
8.219.86.200,2095,2095,false,SIN,Asia Pacific,Singapore,154,0.43
8.219.113.232,80,80,false,SIN,Asia Pacific,Singapore,81,0.43
47.237.100.206,2087,2087,true,SIN,Asia Pacific,Singapore,163,0.43
47.237.95.146,2096,2096,true,SIN,Asia Pacific,Singapore,156,0.43
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,153,0.43
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,142,0.43
47.237.83.20,8880,8880,false,SIN,Asia Pacific,Singapore,153,0.43
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,153,0.43
8.219.189.143,2053,2053,true,SIN,Asia Pacific,Singapore,151,0.42
8.219.106.156,443,443,true,SIN,Asia Pacific,Singapore,150,0.42
47.245.105.224,8880,8880,false,SIN,Asia Pacific,Singapore,138,0.42
47.236.144.156,80,80,false,SIN,Asia Pacific,Singapore,154,0.42
47.236.189.92,2087,2087,true,SIN,Asia Pacific,Singapore,81,0.42
47.236.158.158,8880,8880,false,SIN,Asia Pacific,Singapore,57,0.42
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,71,0.42
47.236.102.102,8080,8080,false,SIN,Asia Pacific,Singapore,144,0.42
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,152,0.41
47.236.174.206,2053,2053,true,SIN,Asia Pacific,Singapore,70,0.41
47.236.232.148,2087,2087,true,SIN,Asia Pacific,Singapore,54,0.41
8.219.174.213,2083,2083,true,SIN,Asia Pacific,Singapore,158,0.41
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,155,0.41
8.222.160.176,8080,8080,false,SIN,Asia Pacific,Singapore,149,0.41
8.219.122.55,8443,8443,true,SIN,Asia Pacific,Singapore,148,0.41
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,65,0.41
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,158,0.41
8.222.183.242,2053,2053,true,SIN,Asia Pacific,Singapore,158,0.41
8.219.4.122,8880,8880,false,SIN,Asia Pacific,Singapore,154,0.40
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,156,0.40
47.245.84.124,2053,2053,true,SIN,Asia Pacific,Singapore,78,0.40
8.219.1.92,2083,2083,true,SIN,Asia Pacific,Singapore,154,0.40
8.222.193.65,2052,2052,false,SIN,Asia Pacific,Singapore,68,0.40
